,Symbol,Date,High,Low,Open,Close,Volume
1865,JNJ,2013-05-15,87.88,86.94,86.94,87.64,13444400
1866,JNJ,2013-05-16,87.77,87.06,87.33,87.45,9441900
1867,JNJ,2013-05-17,88.20,87.41,87.47,88.09,11437700
1868,JNJ,2013-05-20,88.20,87.81,88.10,88.01,7235800
1869,JNJ,2013-05-21,88.64,87.79,87.94,88.59,10099600
1870,JNJ,2013-05-22,89.99,88.20,88.70,88.46,13825900
1871,JNJ,2013-05-23,87.97,87.00,87.11,87.21,14446900
1872,JNJ,2013-05-24,87.03,86.49,86.80,86.82,10390100
1873,JNJ,2013-05-28,88.29,87.27,87.54,87.61,8380200
1874,JNJ,2013-05-29,87.16,85.14,87.08,85.65,11872100
1875,JNJ,2013-05-30,86.31,85.68,85.71,85.99,7801200
1876,JNJ,2013-05-31,85.99,84.18,85.68,84.18,13302700
1877,JNJ,2013-06-03,84.71,83.37,84.28,84.71,11768500
1878,JNJ,2013-06-04,85.03,83.56,84.72,84.10,9972000
1879,JNJ,2013-06-05,85.00,83.48,83.91,83.68,9839100
1880,JNJ,2013-06-06,84.46,82.65,83.59,84.46,10671000
1881,JNJ,2013-06-07,85.18,84.40,84.96,84.91,8907700
1882,JNJ,2013-06-10,85.71,84.73,85.01,85.14,8477100
1883,JNJ,2013-06-11,85.02,84.13,84.76,84.69,8967000
1884,JNJ,2013-06-12,85.50,83.70,85.18,83.74,8413200
1885,JNJ,2013-06-13,84.96,83.08,83.60,84.91,8570000
1886,JNJ,2013-06-14,85.48,84.66,84.71,84.91,6357100
1887,JNJ,2013-06-17,86.40,84.98,85.37,85.63,8429100
1888,JNJ,2013-06-18,86.44,85.63,85.75,86.36,7233600
1889,JNJ,2013-06-19,86.50,84.80,86.43,84.86,8288400
1890,JNJ,2013-06-20,84.45,82.12,84.21,82.62,15172600
1891,JNJ,2013-06-21,84.32,82.50,83.00,83.20,20715800
1892,JNJ,2013-06-24,85.31,82.81,82.92,84.61,14777500
1893,JNJ,2013-06-25,85.59,84.54,85.16,85.35,11239400
1894,JNJ,2013-06-26,87.32,85.94,85.95,86.99,11966500
1895,JNJ,2013-06-27,87.82,86.49,87.53,86.71,8890300
1896,JNJ,2013-06-28,87.38,85.85,86.72,85.86,11896300
1897,JNJ,2013-07-01,87.64,85.50,85.72,86.63,9905200
1898,JNJ,2013-07-02,87.20,86.21,86.65,86.57,8572100
1899,JNJ,2013-07-03,87.04,86.10,86.54,86.78,3599900
1900,JNJ,2013-07-05,87.88,86.92,87.58,87.87,5403600
1901,JNJ,2013-07-08,88.99,87.97,88.09,88.59,12051400
1902,JNJ,2013-07-09,89.08,88.36,88.65,88.88,9348600
1903,JNJ,2013-07-10,89.48,88.81,88.88,89.24,7067100
1904,JNJ,2013-07-11,89.93,89.00,89.81,89.67,8941300
1905,JNJ,2013-07-12,89.99,89.38,89.69,89.99,7590600
1906,JNJ,2013-07-15,90.81,89.76,89.91,90.40,13343200
1907,JNJ,2013-07-16,91.66,90.13,91.04,90.40,11409200
1908,JNJ,2013-07-17,90.97,89.88,90.58,90.13,12832200
1909,JNJ,2013-07-18,90.95,90.06,90.33,90.17,8329300
1910,JNJ,2013-07-19,92.27,90.05,90.24,92.23,12506300
1911,JNJ,2013-07-22,92.56,91.61,92.08,92.28,9916200
1912,JNJ,2013-07-23,92.86,92.11,92.39,92.42,8467700
1913,JNJ,2013-07-24,92.66,91.75,92.65,92.36,6846300
1914,JNJ,2013-07-25,92.75,91.75,92.00,92.57,7368000
1915,JNJ,2013-07-26,92.93,91.65,92.32,92.83,8663700
1916,JNJ,2013-07-29,93.39,92.61,92.63,93.21,7925000
1917,JNJ,2013-07-30,93.97,93.02,93.47,93.17,8863000
1918,JNJ,2013-07-31,94.42,93.19,93.23,93.50,11365700
1919,JNJ,2013-08-01,94.40,93.70,94.16,93.77,11098600
1920,JNJ,2013-08-02,94.39,93.45,93.56,94.39,8503100
1921,JNJ,2013-08-05,94.30,93.43,94.05,93.80,7192400
1922,JNJ,2013-08-06,93.94,93.50,93.88,93.81,6415000
1923,JNJ,2013-08-07,94.03,93.47,93.60,93.66,9056900
1924,JNJ,2013-08-08,94.37,92.71,94.27,93.34,11090000
1925,JNJ,2013-08-09,93.39,91.78,93.39,92.36,12135800
1926,JNJ,2013-08-12,92.77,91.75,92.08,92.00,11012300
1927,JNJ,2013-08-13,93.35,91.76,91.89,93.01,10099800
1928,JNJ,2013-08-14,92.95,90.51,92.79,90.70,12716800
1929,JNJ,2013-08-15,90.41,89.09,90.32,89.55,12010700
1930,JNJ,2013-08-16,89.80,88.77,89.13,89.37,14100700
